source_row	sample_id	severity	code	detail
5243	GCF_000584875	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5244	GCF_000588055	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5246	GCF_000588435	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5248	GCF_000588895	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5249	GCF_000588915	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5250	GCF_000588935	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5251	GCF_000589075	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5252	GCF_000589095	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5253	GCF_000589275	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5254	GCF_000589295	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5255	GCF_000589315	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5256	GCF_000589355	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5257	GCF_000589375	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5258	GCF_000589395	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5259	GCF_000589415	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5260	GCF_000589435	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5261	GCF_000589455	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
